Name,Occupation,Leadership Position,Party,Committee Assignments,Mailing Address,Capitol Phone,Email,District Number
Steve Fenberg,,President of the Senate,Democrat,"Executive Committee of the Legislative Council, Legislative Council, Capitol Building Advisory Committee","200 E Colfax None, Denver, CO 80203, United States",303-866-4872,stephen.fenberg.senate@coleg.gov,18
Karen McCormick,Veterinarian,,Democrat,"Agriculture, Water & Natural Resources, Health & Human Services","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2780,karen.mccormick.house@coleg.gov,11
Mike Lynch,,,Republican,"Agriculture, Water & Natural Resources, Business Affairs & Labor","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2907,mike.lynch.house@coleg.gov,65
Jennifer Bacon,,Assistant Majority Leader,Democrat,"Judiciary, Education","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2909,jennifer.bacon.house@coleg.gov,7
Tony Exum,,,Democrat,"Local Government & Housing, Transportation & Energy","200 E Colfax RM 346, Denver, CO 80203, United States",303-866-6364,tony.exum.senate@coleg.gov,11
Meghan Lukens,Teacher,,Democrat,"Agriculture, Water & Natural Resources, Legislative Council, Education","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2923,meghan.lukens.house@coleg.gov,26
Ron Weinberg,Founder and Owner – 365 IT – Technology Solutions,,Republican,"Finance, Joint Technology Committee, Health & Human Services","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2947,ron.weinberg.house@coleg.gov,51
Janice Marchman,Teacher,,Democrat,"Education, Agriculture & Natural Resources","200 E Colfax RM 346, Denver, CO 80203, United States",303-866-4853,janice.marchman.senate@coleg.gov,15
Brianna Titone,Geologist/Software Dev.,Majority Caucus Co-Chair,Democrat,"Joint Technology Committee, Agriculture, Water & Natural Resources, Energy & Environment","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2962,brianna.titone.house@coleg.gov,27
Nick Hinrichsen,,,Democrat,"Business, Labor, & Technology, Capital Development Committee, Statutory Revision Committee, Transportation & Energy","200 E Colfax RM 346, Denver, CO 80203, United States",303-866-4878,nick.hinrichsen.senate@coleg.gov,3
William Lindstedt,,,Democrat,"Business Affairs & Labor, Finance, Capitol Building Advisory Committee, Legislative Audit Committee","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-4667,william.lindstedt.house@coleg.gov,33
Emily Sirota,Administrator/Social Worker,,Democrat,"Appropriations, Joint Budget Committee","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2910,emily.sirota.house@coleg.gov,9
Stephanie Vigil,,,Democrat,"Energy & Environment, Transportation, Housing & Local Government","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2937,stephanie.vigil.house@coleg.gov,16
Ty Winter,,Assistant Minority Leader,Republican,"Agriculture, Water & Natural Resources, Energy & Environment","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2747,ty.winter.house@coleg.gov,47
Dafna Michaelson Jenet,,,Democrat,"Health & Human Services, Legislative Audit Committee, Judiciary","200 E Colfax None, Denver, CO 80203, United States",303-866-4857,dafna.michaelson.jenet.senate@coleg.gov,21
Tammy Story,,,Democrat,"Capital Development Committee, Agriculture, Water & Natural Resources, Education","200 E Colfax RM 307, Denver, CO 80203, United States",303-866-2582,tammy.story.house@coleg.gov,25
Jeff Bridges,Legislator,,Democrat,"Appropriations, Joint Budget Committee","200 E Colfax RM, Denver, CO 80203, United States",303-866-4846,jeff.bridges.senate@coleg.gov,26
